High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
89757,2004-07-28,89014,2004-08-13,25953,2004-12-10,19166,2004-04-30,11308,2004-11-02
81540,2004-10-19,20220,2004-08-31,15202,2004-08-12,59184,2004-03-24,51043,2004-01-02
46886,2004-08-13,43350,2004-01-30,77702,2004-04-28,17750,2004-04-29,22111,2004-09-27
57817,2004-07-07,52476,2004-07-28,14656,2004-01-29,27983,2004-08-12,52708,2004-11-02
18403,2004-08-06,77462,2004-08-19,85269,2004-07-08,82643,2004-09-24,72726,2004-03-19
86356,2004-07-28,62770,2004-10-19,10104,2004-07-28,80711,2004-07-16,37584,2004-03-11
13100,2004-07-27,25419,2004-10-25,62092,2004-07-26,14008,2004-04-30,25320,2004-09-01
,,86102,2004-07-29,79057,2004-08-31,87292,2004-07-19,64936,2004-02-18
,,15472,2004-07-26,17144,2004-04-30,28222,2004-07-28,75789,2004-02-05
,,81055,2004-10-25,17478,2004-07-30,20482,2004-02-27,66157,2004-03-24
,,66325,2004-07-28,75257,2004-07-19,22840,2004-08-13,23579,2004-10-04
,,76149,2004-07-30,77178,2004-05-24,43772,2004-10-29,78034,2004-10-29
,,11607,2004-07-26,39087,2004-08-13,24459,2004-03-11,65875,2004-05-20
,,69032,2004-01-29,11896,2004-10-22,15077,2004-10-25,24221,2004-02-03
,,22293,2004-05-17,53065,2004-01-29,20626,2004-01-29,13821,2004-11-02
,,40272,2004-07-26,49015,2004-02-24,47466,2004-05-18,24563,2004-05-07
,,87432,2004-07-16,34833,2004-05-20,76656,2004-04-30,34032,2004-11-02
,,76624,2004-07-26,42534,2004-10-19,34817,2004-08-12,89757,2004-12-03
,,56274,2004-07-28,14593,2004-08-31,27991,2004-08-12,83981,2004-02-18
,,73139,2004-07-28,86756,2004-04-30,23114,2004-10-22,59248,2004-11-02
,,11754,2004-04-30,13119,2004-07-22,37161,2004-08-17,15077,2004-11-02
,,25487,2004-07-28,76757,2004-07-23,21776,2004-07-22,23536,2004-04-01
,,27633,2004-06-30,41080,2004-07-28,20053,2004-10-25,85522,2004-10-25
,,11762,2004-10-25,85631,2004-04-30,11703,2004-10-20,25487,2004-06-09
,,76090,2004-07-28,76201,2004-02-25,51377,2004-08-12,49154,2004-09-03
,,49905,2004-09-27,26710,2004-07-23,47941,2004-07-19,86136,2004-02-05
,,44951,2004-07-27,80100,2004-04-30,65787,2004-01-08,75100,2004-01-12
,,75186,2004-07-16,10145,2004-08-31,13688,2004-08-12,53613,2004-04-29
,,81593,2004-07-27,24272,2004-05-18,80080,2004-08-12,87432,2004-07-08
,,81285,2004-05-10,79237,2004-07-26,11404,2004-04-20,10078,2004-05-10
,,51369,2004-07-16,39642,2004-03-31,80913,2004-02-26,75857,2004-05-03
,,84373,2004-03-24,75175,2004-03-16,23931,2004-10-22,76076,2004-04-20
,,12503,2004-05-24,15579,2004-07-28,80266,2004-03-23,82598,2004-01-30
,,75034,2004-09-30,58246,2004-07-27,79973,2004-07-23,15579,2004-12-08
,,36469,2004-09-30,44601,2004-07-19,23660,2004-12-27,46886,2004-01-09
,,72726,2004-04-30,73940,2004-07-27,78975,2004-10-26,79108,2004-09-15
,,76804,2004-07-28,59379,2004-01-29,38578,2004-07-27,14656,2004-12-02
,,51596,2004-03-24,82651,2004-03-24,77659,2004-10-19,82618,2004-12-31
,,24766,2004-05-20,65883,2004-10-25,88661,2004-03-29,40061,2004-11-10
,,76557,2004-08-31,81126,2004-07-26,52708,2004-12-20,47175,2004-06-16
,,18729,2004-12-20,82775,2004-04-30,40416,2004-09-27,59328,2004-06-04
,,,,11976,2004-10-25,77284,2004-06-18,61241,2004-10-14
,,,,16432,2004-10-21,10696,2004-03-24,11976,2004-06-25
,,,,80599,2004-04-27,11955,2004-07-26,86979,2004-10-05
,,,,86414,2004-02-24,88853,2004-05-20,48267,2004-02-20
,,,,86591,2004-10-26,75489,2004-03-25,83332,2004-06-03
,,,,88319,2004-10-19,23309,2004-04-30,80266,2004-06-03
,,,,84372,2004-07-26,25778,2004-07-28,22779,2004-12-03
,,,,76076,2004-03-23,62834,2004-01-29,76201,2004-12-02
,,,,23819,2004-04-30,40061,2004-04-30,79094,2004-11-30
,,,,14891,2004-02-27,24046,2004-07-28,25778,2004-05-19
,,,,38156,2004-10-22,50876,2004-03-22,40125,2004-12-02
,,,,37584,2004-07-29,14702,2004-03-24,81655,2004-07-22
,,,,75912,2004-07-29,91380,2004-04-29,27713,2004-09-23
,,,,75789,2004-09-23,70578,2004-02-25,77668,2004-06-01
,,,,20415,2004-03-23,85913,2004-08-31,39490,2004-09-08
,,,,60871,2004-04-30,36468,2004-10-20,64565,2004-12-08
,,,,21792,2004-07-30,39538,2004-07-28,85914,2004-06-18
,,,,42796,2004-07-30,15667,2004-07-22,14702,2004-10-08
