High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
70332,2010-06-09,92988,2010-07-30,88352,2010-12-30,92618,2010-10-18,60871,2010-04-09
83421,2010-05-14,76712,2010-03-25,66157,2010-09-29,47941,2010-02-05,77976,2010-08-13
51706,2010-11-24,59408,2010-08-30,61241,2010-08-31,47941,2010-02-05,90829,2010-03-25
83421,2010-05-14,52337,2010-07-22,34032,2010-11-26,75224,2010-07-28,84129,2010-12-01
84342,2011-02-03,44951,2011-02-01,90993,2010-08-13,77281,2010-09-13,37284,2010-04-19
83421,2010-05-14,27887,2010-04-30,11081,2011-01-31,34817,2010-03-22,41080,2011-02-28
83421,2010-05-14,25081,2010-09-27,68144,2010-10-15,61241,2010-01-29,70519,2010-10-15
75573,2010-06-29,77274,2010-06-09,70308,2010-12-22,81776,2010-08-02,77605,2010-07-30
89757,2010-07-19,83862,2010-03-22,49015,2010-10-29,36397,2010-10-25,75034,2010-09-23
80303,2010-05-20,89179,2010-05-10,81055,2010-11-22,61815,2010-03-26,24942,2010-08-23
83421,2010-11-30,79094,2010-03-31,53613,2010-10-05,92611,2010-09-13,77274,2011-01-03
47466,2010-04-29,67598,2010-11-19,16432,2010-03-31,61815,2010-06-01,89004,2010-06-03
49373,2010-10-21,15202,2010-08-17,86783,2010-05-19,90071,2010-11-19,77418,2010-11-30
80303,2010-06-18,66800,2010-02-08,89626,2010-02-23,75224,2010-04-30,64995,2010-09-28
81138,2010-12-01,53866,2011-02-07,68144,2010-08-27,90993,2010-08-13,87299,2010-07-30
51706,2010-12-01,66384,2011-02-28,76644,2010-10-27,86314,2010-12-14,60097,2010-10-15
86580,2010-07-29,77274,2010-04-30,84342,2010-08-25,75034,2010-06-01,76639,2010-01-21
80303,2010-04-30,86964,2011-01-24,29102,2010-03-25,84032,2010-04-14,77462,2010-06-29
76708,2010-10-15,25419,2010-11-12,91461,2010-02-26,91233,2010-02-19,90441,2011-01-14
48506,2010-06-03,75034,2010-05-28,91392,2011-02-14,91233,2010-02-19,37284,2010-04-19
35044,2010-11-24,61241,2010-09-10,76082,2010-03-30,19561,2010-12-20,37284,2010-04-19
53613,2010-09-22,82686,2010-10-11,75825,2010-03-25,48267,2010-03-11,75034,2010-06-01
75573,2010-08-31,82686,2010-10-11,79094,2010-08-31,89195,2010-08-23,78975,2011-01-13
83421,2010-12-06,89626,2010-08-20,53613,2010-03-09,21207,2010-08-02,86021,2010-06-30
70332,2010-06-09,90808,2011-01-04,36397,2010-08-18,59408,2010-07-23,21207,2011-01-31
54148,2010-11-26,23819,2010-05-28,49015,2010-09-27,52329,2010-07-28,84032,2010-04-14
11754,2010-08-06,15560,2010-12-21,17005,2010-08-31,42906,2010-11-26,84032,2010-03-26
83421,2010-12-06,66384,2010-03-19,59010,2010-07-28,88668,2010-10-05,71563,2010-10-25
82643,2010-12-29,75034,2010-09-23,27828,2010-09-13,89626,2011-02-15,75510,2010-07-08
76708,2010-08-17,86580,2010-03-24,19502,2010-06-25,34833,2010-09-27,38682,2010-08-27
86580,2010-08-03,92611,2010-05-18,76076,2010-12-03,59010,2010-09-10,75577,2010-05-14
44951,2010-12-07,83421,2010-10-26,39917,2010-07-09,88590,2010-03-10,65330,2010-09-01
